3100,89,1624.958231
4230,159,2520.657386
5360,255,3238.359313
6490,370,3737.767778
7620,510,4207.992380
8750,669,4936.928334
9880,851,5766.109101
11010,1053,6428.429666
12140,1280,7182.791187
13270,1528,7857.065132
14400,1800,8548.341938
