n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,91,1624.958231,53,1624.958231,40,1624.958231,35,1624.958231,37,1624.958231,30,1624.958231,28,1624.958231,31,1624.958231,370,1624.958231,2085,1624.958231
4230,156,2520.657386,89,2520.657386,73,2520.657386,60,2520.657386,64,2520.657386,57,2520.657386,51,2520.657386,55,2520.657386,416,2520.657386,1915,2520.657386
5360,251,3238.359313,141,3238.359313,112,3238.359313,97,3238.359313,103,3238.359313,86,3238.359313,82,3238.359313,83,3238.359313,551,3238.359313,1720,3238.359313
6490,358,3737.767778,210,3737.767778,162,3737.767778,139,3737.767778,151,3737.767778,125,3737.767778,121,3737.767778,121,3737.767778,712,3737.767778,1381,3737.767778
7620,492,4207.992380,282,4207.992380,223,4207.992380,190,4207.992380,207,4207.992380,172,4207.992380,169,4207.992380,166,4207.992380,663,4207.992380,1754,4207.992380
8750,640,4936.928334,372,4936.928334,293,4936.928334,249,4936.928334,273,4936.928334,226,4936.928334,216,4936.928334,223,4936.928334,745,4936.928334,1253,4936.928334
9880,814,5766.109101,475,5766.109101,372,5766.109101,318,5766.109101,346,5766.109101,288,5766.109101,275,5766.109101,284,5766.109101,770,5766.109101,1453,5766.109101
11010,1005,6428.429666,589,6428.429666,461,6428.429666,395,6428.429666,428,6428.429666,356,6428.429666,341,6428.429666,361,6428.429666,865,6428.429666,1431,6428.429666
12140,1218,7182.791187,715,7182.791187,560,7182.791187,480,7182.791187,523,7182.791187,431,7182.791187,416,7182.791187,419,7182.791187,978,7182.791187,1590,7182.791187
13270,1451,7857.065132,850,7857.065132,667,7857.065132,570,7857.065132,622,7857.065132,516,7857.065132,494,7857.065132,499,7857.065132,1006,7857.065132,1546,7857.065132
14400,1708,8548.341938,998,8548.341938,783,8548.341938,674,8548.341938,727,8548.341938,607,8548.341938,585,8548.341938,610,8548.341938,1082,8548.341938,1716,8548.341938
