n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,92,1624.958231,63,1624.958231,41,1624.958231,40,1624.958231,43,1624.958231,51,1624.958231,49,1624.958231,62,1624.958231,635,1624.958231,1749,1624.958231
4230,158,2520.657386,108,2520.657386,70,2520.657386,68,2520.657386,77,2520.657386,87,2520.657386,90,2520.657386,122,2520.657386,708,2520.657386,1840,2520.657386
5360,244,3238.359313,171,3238.359313,112,3238.359313,114,3238.359313,129,3238.359313,139,3238.359313,132,3238.359313,145,3238.359313,653,3238.359313,2116,3238.359313
6490,355,3737.767778,252,3737.767778,163,3737.767778,159,3737.767778,180,3737.767778,189,3737.767778,205,3737.767778,222,3737.767778,746,3737.767778,2086,3737.767778
7620,488,4207.992380,345,4207.992380,223,4207.992380,223,4207.992380,222,4207.992380,264,4207.992380,268,4207.992380,298,4207.992380,917,4207.992380,1882,4207.992380
8750,632,4936.928334,453,4936.928334,295,4936.928334,285,4936.928334,299,4936.928334,329,4936.928334,347,4936.928334,333,4936.928334,924,4936.928334,1800,4936.928334
9880,804,5766.109101,573,5766.109101,374,5766.109101,356,5766.109101,403,5766.109101,409,5766.109101,397,5766.109101,420,5766.109101,938,5766.109101,1895,5766.109101
11010,1001,6428.429666,703,6428.429666,464,6428.429666,436,6428.429666,475,6428.429666,490,6428.429666,506,6428.429666,505,6428.429666,1083,6428.429666,1865,6428.429666
12140,1206,7182.791187,852,7182.791187,564,7182.791187,529,7182.791187,551,7182.791187,584,7182.791187,568,7182.791187,589,7182.791187,1115,7182.791187,2342,7182.791187
13270,1439,7857.065132,1009,7857.065132,667,7857.065132,626,7857.065132,659,7857.065132,661,7857.065132,659,7857.065132,690,7857.065132,1206,7857.065132,2545,7857.065132
14400,1692,8548.341938,1186,8548.341938,792,8548.341938,735,8548.341938,784,8548.341938,775,8548.341938,778,8548.341938,808,8548.341938,1448,8548.341938,2570,8548.341938
