n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,119,1624.958231,71,1624.958231,52,1624.958231,52,1624.958231,58,1624.958231,54,1624.958231,65,1624.958231,63,1624.958231,67,1624.958231,107,1624.958231
4230,204,2520.657386,119,2520.657386,92,2520.657386,90,2520.657386,94,2520.657386,104,2520.657386,97,2520.657386,107,2520.657386,92,2520.657386,145,2520.657386
5360,326,3238.359313,187,3238.359313,145,3238.359313,146,3238.359313,150,3238.359313,148,3238.359313,158,3238.359313,175,3238.359313,154,3238.359313,201,3238.359313
6490,466,3737.767778,275,3737.767778,214,3737.767778,212,3737.767778,217,3737.767778,223,3737.767778,216,3737.767778,223,3737.767778,224,3737.767778,277,3737.767778
7620,642,4207.992380,373,4207.992380,294,4207.992380,286,4207.992380,291,4207.992380,293,4207.992380,297,4207.992380,307,4207.992380,294,4207.992380,344,4207.992380
8750,844,4936.928334,498,4936.928334,384,4936.928334,373,4936.928334,375,4936.928334,393,4936.928334,394,4936.928334,408,4936.928334,393,4936.928334,430,4936.928334
9880,1067,5766.109101,631,5766.109101,491,5766.109101,481,5766.109101,489,5766.109101,494,5766.109101,490,5766.109101,497,5766.109101,492,5766.109101,540,5766.109101
11010,1318,6428.429666,785,6428.429666,609,6428.429666,592,6428.429666,602,6428.429666,605,6428.429666,607,6428.429666,614,6428.429666,602,6428.429666,648,6428.429666
12140,1610,7182.791187,954,7182.791187,740,7182.791187,718,7182.791187,722,7182.791187,725,7182.791187,730,7182.791187,738,7182.791187,729,7182.791187,775,7182.791187
13270,1930,7857.065132,1133,7857.065132,879,7857.065132,860,7857.065132,863,7857.065132,859,7857.065132,869,7857.065132,866,7857.065132,858,7857.065132,902,7857.065132
14400,2247,8548.341938,1331,8548.341938,1032,8548.341938,1003,8548.341938,1007,8548.341938,1014,8548.341938,1012,8548.341938,1014,8548.341938,1007,8548.341938,1056,8548.341938
