n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,118,1624.958231,68,1624.958231,52,1624.958231,44,1624.958231,43,1624.958231,41,1624.958231,42,1624.958231,48,1624.958231,42,1624.958231,88,1624.958231
4230,203,2520.657386,118,2520.657386,93,2520.657386,78,2520.657386,77,2520.657386,73,2520.657386,74,2520.657386,82,2520.657386,74,2520.657386,118,2520.657386
5360,320,3238.359313,186,3238.359313,145,3238.359313,129,3238.359313,119,3238.359313,118,3238.359313,119,3238.359313,121,3238.359313,119,3238.359313,160,3238.359313
6490,465,3737.767778,271,3737.767778,212,3737.767778,184,3737.767778,185,3737.767778,173,3737.767778,176,3737.767778,181,3737.767778,167,3737.767778,216,3737.767778
7620,637,4207.992380,376,4207.992380,292,4207.992380,255,4207.992380,243,4207.992380,245,4207.992380,252,4207.992380,242,4207.992380,229,4207.992380,276,4207.992380
8750,842,4936.928334,495,4936.928334,382,4936.928334,330,4936.928334,330,4936.928334,328,4936.928334,309,4936.928334,324,4936.928334,303,4936.928334,350,4936.928334
9880,1068,5766.109101,631,5766.109101,489,5766.109101,416,5766.109101,415,5766.109101,401,5766.109101,402,5766.109101,398,5766.109101,384,5766.109101,431,5766.109101
11010,1332,6428.429666,779,6428.429666,606,6428.429666,512,6428.429666,506,6428.429666,496,6428.429666,493,6428.429666,495,6428.429666,476,6428.429666,521,6428.429666
12140,1608,7182.791187,948,7182.791187,733,7182.791187,625,7182.791187,615,7182.791187,606,7182.791187,603,7182.791187,598,7182.791187,579,7182.791187,624,7182.791187
13270,1925,7857.065132,1131,7857.065132,877,7857.065132,741,7857.065132,735,7857.065132,720,7857.065132,741,7857.065132,712,7857.065132,688,7857.065132,732,7857.065132
14400,2247,8548.341938,1326,8548.341938,1030,8548.341938,876,8548.341938,884,8548.341938,846,8548.341938,847,8548.341938,842,8548.341938,810,8548.341938,856,8548.341938
