n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,84,1624.958231,48,1624.958231,36,1624.958231,31,1624.958231,30,1624.958231,28,1624.958231,28,1624.958231,27,1624.958231,375,1624.958231,2342,1624.958231
4230,162,2520.657386,91,2520.657386,67,2520.657386,57,2520.657386,55,2520.657386,52,2520.657386,52,2520.657386,50,2520.657386,412,2520.657386,2561,2520.657386
5360,244,3238.359313,142,3238.359313,107,3238.359313,92,3238.359313,88,3238.359313,83,3238.359313,83,3238.359313,76,3238.359313,511,3238.359313,2647,3238.359313
6490,356,3737.767778,207,3737.767778,155,3737.767778,132,3737.767778,125,3737.767778,123,3737.767778,120,3737.767778,114,3737.767778,597,3737.767778,2760,3737.767778
7620,486,4207.992380,283,4207.992380,213,4207.992380,181,4207.992380,173,4207.992380,168,4207.992380,159,4207.992380,152,4207.992380,666,4207.992380,2882,4207.992380
8750,634,4936.928334,374,4936.928334,278,4936.928334,239,4936.928334,230,4936.928334,218,4936.928334,221,4936.928334,203,4936.928334,763,4936.928334,2769,4936.928334
9880,803,5766.109101,473,5766.109101,355,5766.109101,303,5766.109101,299,5766.109101,278,5766.109101,278,5766.109101,255,5766.109101,793,5766.109101,2753,5766.109101
11010,990,6428.429666,586,6428.429666,440,6428.429666,374,6428.429666,359,6428.429666,346,6428.429666,348,6428.429666,316,6428.429666,909,6428.429666,2716,6428.429666
12140,1203,7182.791187,712,7182.791187,536,7182.791187,454,7182.791187,435,7182.791187,426,7182.791187,424,7182.791187,394,7182.791187,964,7182.791187,2900,7182.791187
13270,1434,7857.065132,849,7857.065132,635,7857.065132,543,7857.065132,527,7857.065132,501,7857.065132,497,7857.065132,460,7857.065132,1026,7857.065132,2926,7857.065132
14400,1687,8548.341938,1001,8548.341938,749,8548.341938,638,8548.341938,602,8548.341938,591,8548.341938,586,8548.341938,543,8548.341938,1118,8548.341938,3066,8548.341938
