n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,111,1624.958231,65,1624.958231,51,1624.958231,42,1624.958231,41,1624.958231,34,1624.958231,39,1624.958231,36,1624.958231,35,1624.958231,84,1624.958231
4230,191,2520.657386,110,2520.657386,89,2520.657386,76,2520.657386,73,2520.657386,61,2520.657386,64,2520.657386,61,2520.657386,57,2520.657386,106,2520.657386
5360,302,3238.359313,174,3238.359313,136,3238.359313,122,3238.359313,116,3238.359313,102,3238.359313,98,3238.359313,97,3238.359313,88,3238.359313,136,3238.359313
6490,435,3737.767778,254,3737.767778,199,3737.767778,169,3737.767778,166,3737.767778,144,3737.767778,139,3737.767778,146,3737.767778,126,3737.767778,172,3737.767778
7620,595,4207.992380,347,4207.992380,270,4207.992380,231,4207.992380,226,4207.992380,196,4207.992380,192,4207.992380,190,4207.992380,173,4207.992380,220,4207.992380
8750,781,4936.928334,456,4936.928334,356,4936.928334,303,4936.928334,294,4936.928334,256,4936.928334,252,4936.928334,251,4936.928334,225,4936.928334,271,4936.928334
9880,993,5766.109101,579,5766.109101,451,5766.109101,387,5766.109101,370,5766.109101,327,5766.109101,322,5766.109101,313,5766.109101,289,5766.109101,328,5766.109101
11010,1229,6428.429666,716,6428.429666,559,6428.429666,478,6428.429666,455,6428.429666,404,6428.429666,395,6428.429666,386,6428.429666,355,6428.429666,402,6428.429666
12140,1487,7182.791187,873,7182.791187,675,7182.791187,577,7182.791187,552,7182.791187,504,7182.791187,471,7182.791187,473,7182.791187,428,7182.791187,471,7182.791187
13270,1763,7857.065132,1036,7857.065132,806,7857.065132,690,7857.065132,653,7857.065132,587,7857.065132,561,7857.065132,563,7857.065132,510,7857.065132,557,7857.065132
14400,2079,8548.341938,1222,8548.341938,945,8548.341938,811,8548.341938,765,8548.341938,688,8548.341938,659,8548.341938,653,8548.341938,598,8548.341938,642,8548.341938
