n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,109,1624.958231,64,1624.958231,50,1624.958231,43,1624.958231,44,1624.958231,39,1624.958231,40,1624.958231,49,1624.958231,42,1624.958231,88,1624.958231
4230,202,2520.657386,118,2520.657386,92,2520.657386,78,2520.657386,76,2520.657386,74,2520.657386,74,2520.657386,79,2520.657386,73,2520.657386,119,2520.657386
5360,318,3238.359313,186,3238.359313,145,3238.359313,127,3238.359313,117,3238.359313,117,3238.359313,122,3238.359313,122,3238.359313,118,3238.359313,160,3238.359313
6490,467,3737.767778,271,3737.767778,211,3737.767778,180,3737.767778,172,3737.767778,173,3737.767778,174,3737.767778,177,3737.767778,169,3737.767778,213,3737.767778
7620,662,4207.992380,376,4207.992380,291,4207.992380,247,4207.992380,237,4207.992380,239,4207.992380,239,4207.992380,248,4207.992380,231,4207.992380,277,4207.992380
8750,847,4936.928334,493,4936.928334,382,4936.928334,325,4936.928334,313,4936.928334,315,4936.928334,316,4936.928334,318,4936.928334,301,4936.928334,348,4936.928334
9880,1068,5766.109101,630,5766.109101,488,5766.109101,415,5766.109101,398,5766.109101,401,5766.109101,401,5766.109101,398,5766.109101,385,5766.109101,427,5766.109101
11010,1328,6428.429666,780,6428.429666,606,6428.429666,511,6428.429666,495,6428.429666,496,6428.429666,500,6428.429666,500,6428.429666,475,6428.429666,520,6428.429666
12140,1610,7182.791187,946,7182.791187,733,7182.791187,622,7182.791187,603,7182.791187,603,7182.791187,584,7182.791187,597,7182.791187,578,7182.791187,621,7182.791187
13270,1899,7857.065132,1132,7857.065132,876,7857.065132,744,7857.065132,718,7857.065132,718,7857.065132,706,7857.065132,711,7857.065132,688,7857.065132,733,7857.065132
14400,2248,8548.341938,1330,8548.341938,1028,8548.341938,886,8548.341938,851,8548.341938,846,8548.341938,837,8548.341938,842,8548.341938,810,8548.341938,855,8548.341938
