n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,90,1624.958231,52,1624.958231,43,1624.958231,39,1624.958231,39,1624.958231,34,1624.958231,30,1624.958231,32,1624.958231,590,1624.958231,2290,1624.958231
4230,156,2520.657386,89,2520.657386,70,2520.657386,68,2520.657386,68,2520.657386,62,2520.657386,54,2520.657386,57,2520.657386,620,2520.657386,2225,2520.657386
5360,248,3238.359313,142,3238.359313,112,3238.359313,110,3238.359313,109,3238.359313,99,3238.359313,87,3238.359313,89,3238.359313,682,3238.359313,2089,3238.359313
6490,354,3737.767778,207,3737.767778,165,3737.767778,158,3737.767778,159,3737.767778,145,3737.767778,127,3737.767778,134,3737.767778,707,3737.767778,2136,3737.767778
7620,481,4207.992380,284,4207.992380,226,4207.992380,217,4207.992380,219,4207.992380,200,4207.992380,173,4207.992380,182,4207.992380,771,4207.992380,1941,4207.992380
8750,630,4936.928334,376,4936.928334,293,4936.928334,287,4936.928334,286,4936.928334,263,4936.928334,229,4936.928334,242,4936.928334,816,4936.928334,2180,4936.928334
9880,799,5766.109101,476,5766.109101,375,5766.109101,363,5766.109101,365,5766.109101,334,5766.109101,290,5766.109101,302,5766.109101,858,5766.109101,2153,5766.109101
11010,991,6428.429666,588,6428.429666,465,6428.429666,447,6428.429666,450,6428.429666,415,6428.429666,360,6428.429666,372,6428.429666,938,6428.429666,2042,6428.429666
12140,1203,7182.791187,718,7182.791187,566,7182.791187,541,7182.791187,546,7182.791187,504,7182.791187,439,7182.791187,448,7182.791187,1028,7182.791187,2560,7182.791187
13270,1436,7857.065132,855,7857.065132,670,7857.065132,639,7857.065132,647,7857.065132,598,7857.065132,521,7857.065132,534,7857.065132,1064,7857.065132,2375,7857.065132
14400,1689,8548.341938,1006,8548.341938,789,8548.341938,749,8548.341938,755,8548.341938,699,8548.341938,616,8548.341938,620,8548.341938,1187,8548.341938,2147,8548.341938
