n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,92,1624.958231,64,1624.958231,40,1624.958231,39,1624.958231,45,1624.958231,49,1624.958231,49,1624.958231,54,1624.958231,611,1624.958231,1703,1624.958231
4230,157,2520.657386,108,2520.657386,71,2520.657386,68,2520.657386,77,2520.657386,89,2520.657386,91,2520.657386,96,2520.657386,670,2520.657386,1928,2520.657386
5360,244,3238.359313,174,3238.359313,112,3238.359313,111,3238.359313,122,3238.359313,139,3238.359313,142,3238.359313,159,3238.359313,713,3238.359313,1868,3238.359313
6490,356,3737.767778,251,3737.767778,166,3737.767778,162,3737.767778,180,3737.767778,187,3737.767778,210,3737.767778,234,3737.767778,766,3737.767778,1789,3737.767778
7620,481,4207.992380,342,4207.992380,224,4207.992380,219,4207.992380,243,4207.992380,264,4207.992380,257,4207.992380,270,4207.992380,791,4207.992380,1888,4207.992380
8750,631,4936.928334,452,4936.928334,292,4936.928334,284,4936.928334,289,4936.928334,335,4936.928334,328,4936.928334,359,4936.928334,907,4936.928334,2142,4936.928334
9880,805,5766.109101,571,5766.109101,373,5766.109101,355,5766.109101,383,5766.109101,389,5766.109101,399,5766.109101,419,5766.109101,959,5766.109101,1916,5766.109101
11010,998,6428.429666,705,6428.429666,460,6428.429666,437,6428.429666,487,6428.429666,477,6428.429666,495,6428.429666,515,6428.429666,1014,6428.429666,2320,6428.429666
12140,1205,7182.791187,849,7182.791187,560,7182.791187,528,7182.791187,554,7182.791187,569,7182.791187,595,7182.791187,595,7182.791187,1166,7182.791187,2238,7182.791187
13270,1437,7857.065132,1010,7857.065132,665,7857.065132,628,7857.065132,646,7857.065132,665,7857.065132,666,7857.065132,699,7857.065132,1248,7857.065132,2160,7857.065132
14400,1691,8548.341938,1189,8548.341938,784,8548.341938,737,8548.341938,775,8548.341938,762,8548.341938,777,8548.341938,800,8548.341938,1365,8548.341938,2621,8548.341938
