n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,89,1624.958231,52,1624.958231,40,1624.958231,38,1624.958231,39,1624.958231,30,1624.958231,32,1624.958231,30,1624.958231,529,1624.958231,1516,1624.958231
4230,157,2520.657386,89,2520.657386,70,2520.657386,68,2520.657386,68,2520.657386,56,2520.657386,53,2520.657386,59,2520.657386,610,2520.657386,1533,2520.657386
5360,247,3238.359313,143,3238.359313,111,3238.359313,107,3238.359313,109,3238.359313,85,3238.359313,85,3238.359313,96,3238.359313,665,3238.359313,1143,3238.359313
6490,360,3737.767778,207,3737.767778,163,3737.767778,157,3737.767778,160,3737.767778,124,3737.767778,126,3737.767778,144,3737.767778,679,3737.767778,1196,3737.767778
7620,495,4207.992380,285,4207.992380,222,4207.992380,216,4207.992380,219,4207.992380,171,4207.992380,173,4207.992380,179,4207.992380,744,4207.992380,1157,4207.992380
8750,640,4936.928334,373,4936.928334,294,4936.928334,283,4936.928334,287,4936.928334,225,4936.928334,228,4936.928334,234,4936.928334,791,4936.928334,1282,4936.928334
9880,814,5766.109101,475,5766.109101,370,5766.109101,360,5766.109101,365,5766.109101,288,5766.109101,290,5766.109101,297,5766.109101,851,5766.109101,1387,5766.109101
11010,1003,6428.429666,586,6428.429666,459,6428.429666,446,6428.429666,485,6428.429666,355,6428.429666,362,6428.429666,363,6428.429666,950,6428.429666,1574,6428.429666
12140,1217,7182.791187,714,7182.791187,556,7182.791187,539,7182.791187,544,7182.791187,432,7182.791187,438,7182.791187,444,7182.791187,970,7182.791187,1605,7182.791187
13270,1449,7857.065132,849,7857.065132,663,7857.065132,636,7857.065132,649,7857.065132,517,7857.065132,521,7857.065132,528,7857.065132,1067,7857.065132,1722,7857.065132
14400,1715,8548.341938,998,8548.341938,782,8548.341938,747,8548.341938,761,8548.341938,610,8548.341938,614,8548.341938,625,8548.341938,1149,8548.341938,1594,8548.341938
