n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,119,1624.958231,69,1624.958231,53,1624.958231,44,1624.958231,44,1624.958231,44,1624.958231,43,1624.958231,46,1624.958231,42,1624.958231,95,1624.958231
4230,206,2520.657386,124,2520.657386,91,2520.657386,79,2520.657386,80,2520.657386,79,2520.657386,80,2520.657386,79,2520.657386,75,2520.657386,128,2520.657386
5360,320,3238.359313,186,3238.359313,148,3238.359313,142,3238.359313,128,3238.359313,127,3238.359313,127,3238.359313,128,3238.359313,117,3238.359313,160,3238.359313
6490,465,3737.767778,274,3737.767778,215,3737.767778,185,3737.767778,188,3737.767778,185,3737.767778,182,3737.767778,177,3737.767778,171,3737.767778,219,3737.767778
7620,638,4207.992380,374,4207.992380,294,4207.992380,249,4207.992380,255,4207.992380,252,4207.992380,250,4207.992380,242,4207.992380,233,4207.992380,279,4207.992380
8750,842,4936.928334,493,4936.928334,387,4936.928334,329,4936.928334,333,4936.928334,335,4936.928334,332,4936.928334,319,4936.928334,311,4936.928334,357,4936.928334
9880,1059,5766.109101,632,5766.109101,494,5766.109101,422,5766.109101,421,5766.109101,407,5766.109101,417,5766.109101,400,5766.109101,387,5766.109101,438,5766.109101
11010,1322,6428.429666,783,6428.429666,607,6428.429666,516,6428.429666,531,6428.429666,513,6428.429666,515,6428.429666,509,6428.429666,482,6428.429666,537,6428.429666
12140,1610,7182.791187,947,7182.791187,740,7182.791187,626,7182.791187,629,7182.791187,628,7182.791187,617,7182.791187,607,7182.791187,583,7182.791187,633,7182.791187
13270,1911,7857.065132,1125,7857.065132,876,7857.065132,743,7857.065132,770,7857.065132,746,7857.065132,740,7857.065132,715,7857.065132,697,7857.065132,739,7857.065132
14400,2249,8548.341938,1325,8548.341938,1032,8548.341938,883,8548.341938,876,8548.341938,887,8548.341938,871,8548.341938,839,8548.341938,820,8548.341938,869,8548.341938
