n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,105,1624.958231,59,1624.958231,47,1624.958231,44,1624.958231,45,1624.958231,37,1624.958231,42,1624.958231,40,1624.958231,40,1624.958231,90,1624.958231
4230,190,2520.657386,108,2520.657386,85,2520.657386,81,2520.657386,81,2520.657386,74,2520.657386,71,2520.657386,77,2520.657386,71,2520.657386,121,2520.657386
5360,294,3238.359313,174,3238.359313,136,3238.359313,130,3238.359313,128,3238.359313,112,3238.359313,113,3238.359313,119,3238.359313,111,3238.359313,159,3238.359313
6490,425,3737.767778,252,3737.767778,200,3737.767778,183,3737.767778,184,3737.767778,162,3737.767778,162,3737.767778,168,3737.767778,160,3737.767778,211,3737.767778
7620,592,4207.992380,347,4207.992380,270,4207.992380,254,4207.992380,251,4207.992380,221,4207.992380,226,4207.992380,221,4207.992380,218,4207.992380,264,4207.992380
8750,766,4936.928334,457,4936.928334,354,4936.928334,335,4936.928334,329,4936.928334,290,4936.928334,289,4936.928334,293,4936.928334,280,4936.928334,335,4936.928334
9880,974,5766.109101,583,5766.109101,450,5766.109101,419,5766.109101,421,5766.109101,368,5766.109101,369,5766.109101,366,5766.109101,353,5766.109101,405,5766.109101
11010,1220,6428.429666,719,6428.429666,558,6428.429666,517,6428.429666,524,6428.429666,449,6428.429666,445,6428.429666,455,6428.429666,440,6428.429666,483,6428.429666
12140,1467,7182.791187,870,7182.791187,677,7182.791187,628,7182.791187,629,7182.791187,543,7182.791187,538,7182.791187,541,7182.791187,530,7182.791187,577,7182.791187
13270,1751,7857.065132,1035,7857.065132,810,7857.065132,755,7857.065132,750,7857.065132,645,7857.065132,633,7857.065132,653,7857.065132,632,7857.065132,688,7857.065132
14400,2052,8548.341938,1221,8548.341938,950,8548.341938,879,8548.341938,881,8548.341938,751,8548.341938,755,8548.341938,751,8548.341938,738,8548.341938,798,8548.341938
