n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,120,1624.958231,69,1624.958231,52,1624.958231,52,1624.958231,51,1624.958231,46,1624.958231,46,1624.958231,52,1624.958231,47,1624.958231,96,1624.958231
4230,203,2520.657386,120,2520.657386,91,2520.657386,90,2520.657386,92,2520.657386,86,2520.657386,87,2520.657386,84,2520.657386,85,2520.657386,134,2520.657386
5360,321,3238.359313,189,3238.359313,148,3238.359313,143,3238.359313,142,3238.359313,130,3238.359313,132,3238.359313,136,3238.359313,130,3238.359313,178,3238.359313
6490,472,3737.767778,274,3737.767778,215,3737.767778,211,3737.767778,209,3737.767778,190,3737.767778,192,3737.767778,199,3737.767778,189,3737.767778,235,3737.767778
7620,643,4207.992380,376,4207.992380,295,4207.992380,287,4207.992380,289,4207.992380,261,4207.992380,260,4207.992380,268,4207.992380,254,4207.992380,302,4207.992380
8750,837,4936.928334,495,4936.928334,384,4936.928334,375,4936.928334,379,4936.928334,335,4936.928334,331,4936.928334,344,4936.928334,330,4936.928334,372,4936.928334
9880,1072,5766.109101,630,5766.109101,490,5766.109101,472,5766.109101,474,5766.109101,430,5766.109101,418,5766.109101,430,5766.109101,417,5766.109101,463,5766.109101
11010,1323,6428.429666,783,6428.429666,612,6428.429666,586,6428.429666,586,6428.429666,512,6428.429666,520,6428.429666,525,6428.429666,505,6428.429666,561,6428.429666
12140,1617,7182.791187,953,7182.791187,738,7182.791187,708,7182.791187,711,7182.791187,624,7182.791187,622,7182.791187,628,7182.791187,615,7182.791187,663,7182.791187
13270,1929,7857.065132,1135,7857.065132,878,7857.065132,862,7857.065132,882,7857.065132,743,7857.065132,744,7857.065132,739,7857.065132,727,7857.065132,780,7857.065132
14400,2258,8548.341938,1331,8548.341938,1044,8548.341938,994,8548.341938,993,8548.341938,857,8548.341938,865,8548.341938,861,8548.341938,853,8548.341938,910,8548.341938
