n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,96,1624.958231,51,1624.958231,38,1624.958231,32,1624.958231,30,1624.958231,28,1624.958231,27,1624.958231,26,1624.958231,271,1624.958231,2491,1624.958231
4230,154,2520.657386,87,2520.657386,66,2520.657386,56,2520.657386,53,2520.657386,49,2520.657386,49,2520.657386,47,2520.657386,258,2520.657386,2287,2520.657386
5360,243,3238.359313,137,3238.359313,106,3238.359313,90,3238.359313,85,3238.359313,80,3238.359313,76,3238.359313,75,3238.359313,268,3238.359313,3109,3238.359313
6490,356,3737.767778,200,3737.767778,154,3737.767778,131,3737.767778,123,3737.767778,117,3737.767778,112,3737.767778,113,3737.767778,488,3737.767778,2754,3737.767778
7620,482,4207.992380,275,4207.992380,214,4207.992380,180,4207.992380,170,4207.992380,160,4207.992380,154,4207.992380,152,4207.992380,573,4207.992380,2966,4207.992380
8750,634,4936.928334,361,4936.928334,279,4936.928334,238,4936.928334,223,4936.928334,209,4936.928334,203,4936.928334,201,4936.928334,623,4936.928334,2913,4936.928334
9880,801,5766.109101,458,5766.109101,355,5766.109101,301,5766.109101,284,5766.109101,267,5766.109101,257,5766.109101,255,5766.109101,712,5766.109101,2823,5766.109101
11010,990,6428.429666,570,6428.429666,438,6428.429666,374,6428.429666,351,6428.429666,332,6428.429666,319,6428.429666,317,6428.429666,763,6428.429666,2966,6428.429666
12140,1203,7182.791187,690,7182.791187,533,7182.791187,454,7182.791187,426,7182.791187,403,7182.791187,389,7182.791187,382,7182.791187,840,7182.791187,3163,7182.791187
13270,1431,7857.065132,824,7857.065132,633,7857.065132,540,7857.065132,510,7857.065132,479,7857.065132,463,7857.065132,457,7857.065132,991,7857.065132,3145,7857.065132
14400,1681,8548.341938,970,8548.341938,747,8548.341938,636,8548.341938,601,8548.341938,567,8548.341938,546,8548.341938,545,8548.341938,990,8548.341938,3241,8548.341938
