n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,120,1624.958231,70,1624.958231,55,1624.958231,52,1624.958231,51,1624.958231,45,1624.958231,46,1624.958231,50,1624.958231,47,1624.958231,98,1624.958231
4230,207,2520.657386,122,2520.657386,97,2520.657386,89,2520.657386,91,2520.657386,82,2520.657386,84,2520.657386,90,2520.657386,83,2520.657386,132,2520.657386
5360,323,3238.359313,192,3238.359313,154,3238.359313,142,3238.359313,144,3238.359313,130,3238.359313,131,3238.359313,136,3238.359313,131,3238.359313,176,3238.359313
6490,474,3737.767778,282,3737.767778,222,3737.767778,206,3737.767778,209,3737.767778,190,3737.767778,193,3737.767778,193,3737.767778,190,3737.767778,239,3737.767778
7620,641,4207.992380,385,4207.992380,305,4207.992380,282,4207.992380,287,4207.992380,259,4207.992380,257,4207.992380,272,4207.992380,254,4207.992380,306,4207.992380
8750,840,4936.928334,507,4936.928334,397,4936.928334,373,4936.928334,372,4936.928334,345,4936.928334,337,4936.928334,341,4936.928334,327,4936.928334,374,4936.928334
9880,1068,5766.109101,642,5766.109101,504,5766.109101,476,5766.109101,474,5766.109101,425,5766.109101,421,5766.109101,432,5766.109101,416,5766.109101,458,5766.109101
11010,1330,6428.429666,801,6428.429666,627,6428.429666,587,6428.429666,586,6428.429666,530,6428.429666,519,6428.429666,518,6428.429666,506,6428.429666,556,6428.429666
12140,1605,7182.791187,969,7182.791187,762,7182.791187,706,7182.791187,706,7182.791187,627,7182.791187,618,7182.791187,626,7182.791187,615,7182.791187,662,7182.791187
13270,1922,7857.065132,1159,7857.065132,904,7857.065132,842,7857.065132,844,7857.065132,745,7857.065132,741,7857.065132,748,7857.065132,725,7857.065132,776,7857.065132
14400,2249,8548.341938,1360,8548.341938,1064,8548.341938,993,8548.341938,994,8548.341938,869,8548.341938,868,8548.341938,871,8548.341938,853,8548.341938,899,8548.341938
