n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,89,1624.958231,53,1624.958231,40,1624.958231,34,1624.958231,37,1624.958231,32,1624.958231,31,1624.958231,29,1624.958231,364,1624.958231,1748,1624.958231
4230,155,2520.657386,90,2520.657386,70,2520.657386,60,2520.657386,68,2520.657386,59,2520.657386,56,2520.657386,52,2520.657386,522,2520.657386,1796,2520.657386
5360,247,3238.359313,142,3238.359313,112,3238.359313,95,3238.359313,103,3238.359313,93,3238.359313,89,3238.359313,83,3238.359313,590,3238.359313,1784,3238.359313
6490,358,3737.767778,207,3737.767778,164,3737.767778,140,3737.767778,150,3737.767778,135,3737.767778,130,3737.767778,124,3737.767778,698,3737.767778,1445,3737.767778
7620,490,4207.992380,284,4207.992380,222,4207.992380,191,4207.992380,216,4207.992380,185,4207.992380,181,4207.992380,166,4207.992380,734,4207.992380,1316,4207.992380
8750,640,4936.928334,373,4936.928334,292,4936.928334,249,4936.928334,284,4936.928334,243,4936.928334,236,4936.928334,219,4936.928334,794,4936.928334,1390,4936.928334
9880,815,5766.109101,473,5766.109101,371,5766.109101,315,5766.109101,330,5766.109101,312,5766.109101,301,5766.109101,278,5766.109101,834,5766.109101,1622,5766.109101
11010,1006,6428.429666,587,6428.429666,459,6428.429666,392,6428.429666,410,6428.429666,385,6428.429666,370,6428.429666,353,6428.429666,893,6428.429666,1463,6428.429666
12140,1221,7182.791187,713,7182.791187,556,7182.791187,476,7182.791187,521,7182.791187,468,7182.791187,449,7182.791187,422,7182.791187,979,7182.791187,1492,7182.791187
13270,1450,7857.065132,850,7857.065132,666,7857.065132,570,7857.065132,592,7857.065132,559,7857.065132,539,7857.065132,499,7857.065132,1079,7857.065132,1637,7857.065132
14400,1711,8548.341938,1001,8548.341938,785,8548.341938,670,8548.341938,691,8548.341938,655,8548.341938,634,8548.341938,589,8548.341938,1094,8548.341938,1867,8548.341938
