n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,90,1624.958231,53,1624.958231,40,1624.958231,35,1624.958231,30,1624.958231,30,1624.958231,28,1624.958231,28,1624.958231,368,1624.958231,2213,1624.958231
4230,156,2520.657386,90,2520.657386,72,2520.657386,60,2520.657386,53,2520.657386,53,2520.657386,52,2520.657386,52,2520.657386,445,2520.657386,2226,2520.657386
5360,246,3238.359313,143,3238.359313,111,3238.359313,96,3238.359313,85,3238.359313,84,3238.359313,85,3238.359313,85,3238.359313,530,3238.359313,2493,3238.359313
6490,357,3737.767778,206,3737.767778,162,3737.767778,141,3737.767778,124,3737.767778,124,3737.767778,123,3737.767778,121,3737.767778,596,3737.767778,2858,3737.767778
7620,482,4207.992380,285,4207.992380,222,4207.992380,192,4207.992380,171,4207.992380,171,4207.992380,172,4207.992380,169,4207.992380,689,4207.992380,2411,4207.992380
8750,630,4936.928334,373,4936.928334,293,4936.928334,253,4936.928334,223,4936.928334,224,4936.928334,218,4936.928334,218,4936.928334,746,4936.928334,2523,4936.928334
9880,806,5766.109101,474,5766.109101,371,5766.109101,319,5766.109101,284,5766.109101,286,5766.109101,283,5766.109101,279,5766.109101,818,5766.109101,2771,5766.109101
11010,987,6428.429666,588,6428.429666,459,6428.429666,399,6428.429666,353,6428.429666,354,6428.429666,346,6428.429666,347,6428.429666,922,6428.429666,2667,6428.429666
12140,1201,7182.791187,712,7182.791187,558,7182.791187,482,7182.791187,429,7182.791187,431,7182.791187,429,7182.791187,418,7182.791187,933,7182.791187,2910,7182.791187
13270,1429,7857.065132,847,7857.065132,666,7857.065132,574,7857.065132,512,7857.065132,514,7857.065132,493,7857.065132,502,7857.065132,1076,7857.065132,2929,7857.065132
14400,1679,8548.341938,1002,8548.341938,784,8548.341938,677,8548.341938,603,8548.341938,606,8548.341938,592,8548.341938,590,8548.341938,1155,8548.341938,3165,8548.341938
