n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,111,1624.958231,76,1624.958231,50,1624.958231,46,1624.958231,47,1624.958231,48,1624.958231,51,1624.958231,51,1624.958231,46,1624.958231,95,1624.958231
4230,192,2520.657386,131,2520.657386,86,2520.657386,81,2520.657386,81,2520.657386,83,2520.657386,85,2520.657386,92,2520.657386,93,2520.657386,135,2520.657386
5360,302,3238.359313,207,3238.359313,137,3238.359313,131,3238.359313,129,3238.359313,129,3238.359313,131,3238.359313,136,3238.359313,134,3238.359313,180,3238.359313
6490,435,3737.767778,300,3737.767778,198,3737.767778,183,3737.767778,185,3737.767778,187,3737.767778,194,3737.767778,194,3737.767778,186,3737.767778,234,3737.767778
7620,598,4207.992380,408,4207.992380,270,4207.992380,252,4207.992380,254,4207.992380,255,4207.992380,261,4207.992380,259,4207.992380,252,4207.992380,308,4207.992380
8750,783,4936.928334,538,4936.928334,355,4936.928334,336,4936.928334,329,4936.928334,337,4936.928334,335,4936.928334,343,4936.928334,331,4936.928334,382,4936.928334
9880,993,5766.109101,681,5766.109101,449,5766.109101,420,5766.109101,423,5766.109101,433,5766.109101,428,5766.109101,433,5766.109101,427,5766.109101,470,5766.109101
11010,1236,6428.429666,842,6428.429666,558,6428.429666,522,6428.429666,523,6428.429666,521,6428.429666,520,6428.429666,527,6428.429666,524,6428.429666,565,6428.429666
12140,1480,7182.791187,1022,7182.791187,673,7182.791187,630,7182.791187,632,7182.791187,638,7182.791187,634,7182.791187,645,7182.791187,632,7182.791187,676,7182.791187
13270,1763,7857.065132,1225,7857.065132,804,7857.065132,744,7857.065132,749,7857.065132,751,7857.065132,756,7857.065132,761,7857.065132,749,7857.065132,795,7857.065132
14400,2067,8548.341938,1428,8548.341938,939,8548.341938,890,8548.341938,879,8548.341938,892,8548.341938,896,8548.341938,889,8548.341938,884,8548.341938,934,8548.341938
