n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,122,1624.958231,72,1624.958231,54,1624.958231,50,1624.958231,42,1624.958231,42,1624.958231,47,1624.958231,48,1624.958231,42,1624.958231,90,1624.958231
4230,207,2520.657386,121,2520.657386,95,2520.657386,83,2520.657386,78,2520.657386,78,2520.657386,81,2520.657386,85,2520.657386,77,2520.657386,125,2520.657386
5360,325,3238.359313,193,3238.359313,152,3238.359313,130,3238.359313,125,3238.359313,126,3238.359313,126,3238.359313,129,3238.359313,118,3238.359313,167,3238.359313
6490,467,3737.767778,283,3737.767778,221,3737.767778,189,3737.767778,181,3737.767778,179,3737.767778,181,3737.767778,188,3737.767778,172,3737.767778,221,3737.767778
7620,643,4207.992380,387,4207.992380,303,4207.992380,259,4207.992380,246,4207.992380,245,4207.992380,255,4207.992380,251,4207.992380,233,4207.992380,284,4207.992380
8750,837,4936.928334,508,4936.928334,398,4936.928334,344,4936.928334,348,4936.928334,323,4936.928334,327,4936.928334,328,4936.928334,307,4936.928334,353,4936.928334
9880,1078,5766.109101,644,5766.109101,507,5766.109101,435,5766.109101,410,5766.109101,409,5766.109101,413,5766.109101,421,5766.109101,393,5766.109101,442,5766.109101
11010,1320,6428.429666,800,6428.429666,628,6428.429666,539,6428.429666,507,6428.429666,505,6428.429666,514,6428.429666,521,6428.429666,481,6428.429666,532,6428.429666
12140,1605,7182.791187,973,7182.791187,760,7182.791187,651,7182.791187,615,7182.791187,613,7182.791187,619,7182.791187,620,7182.791187,589,7182.791187,632,7182.791187
13270,1922,7857.065132,1157,7857.065132,907,7857.065132,776,7857.065132,731,7857.065132,731,7857.065132,731,7857.065132,743,7857.065132,698,7857.065132,744,7857.065132
14400,2251,8548.341938,1365,8548.341938,1068,8548.341938,909,8548.341938,861,8548.341938,860,8548.341938,867,8548.341938,872,8548.341938,819,8548.341938,865,8548.341938
