n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,111,1624.958231,62,1624.958231,46,1624.958231,43,1624.958231,41,1624.958231,34,1624.958231,30,1624.958231,32,1624.958231,33,1624.958231,81,1624.958231
4230,191,2520.657386,105,2520.657386,81,2520.657386,71,2520.657386,72,2520.657386,65,2520.657386,58,2520.657386,61,2520.657386,56,2520.657386,109,2520.657386
5360,298,3238.359313,166,3238.359313,131,3238.359313,108,3238.359313,114,3238.359313,101,3238.359313,91,3238.359313,91,3238.359313,89,3238.359313,139,3238.359313
6490,427,3737.767778,243,3737.767778,187,3737.767778,164,3737.767778,164,3737.767778,148,3737.767778,132,3737.767778,133,3737.767778,126,3737.767778,174,3737.767778
7620,585,4207.992380,334,4207.992380,257,4207.992380,217,4207.992380,224,4207.992380,196,4207.992380,184,4207.992380,185,4207.992380,173,4207.992380,220,4207.992380
8750,772,4936.928334,437,4936.928334,340,4936.928334,285,4936.928334,291,4936.928334,259,4936.928334,239,4936.928334,240,4936.928334,223,4936.928334,270,4936.928334
9880,982,5766.109101,560,5766.109101,429,5766.109101,362,5766.109101,369,5766.109101,334,5766.109101,306,5766.109101,295,5766.109101,283,5766.109101,326,5766.109101
11010,1214,6428.429666,689,6428.429666,532,6428.429666,449,6428.429666,456,6428.429666,419,6428.429666,363,6428.429666,370,6428.429666,347,6428.429666,396,6428.429666
12140,1478,7182.791187,836,7182.791187,645,7182.791187,546,7182.791187,547,7182.791187,498,7182.791187,449,7182.791187,443,7182.791187,422,7182.791187,466,7182.791187
13270,1749,7857.065132,997,7857.065132,767,7857.065132,647,7857.065132,639,7857.065132,584,7857.065132,539,7857.065132,523,7857.065132,503,7857.065132,550,7857.065132
14400,2053,8548.341938,1175,8548.341938,900,8548.341938,764,8548.341938,760,8548.341938,683,8548.341938,624,8548.341938,619,8548.341938,591,8548.341938,634,8548.341938
