n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,121,1624.958231,71,1624.958231,55,1624.958231,50,1624.958231,44,1624.958231,43,1624.958231,45,1624.958231,49,1624.958231,43,1624.958231,93,1624.958231
4230,209,2520.657386,123,2520.657386,96,2520.657386,82,2520.657386,79,2520.657386,79,2520.657386,85,2520.657386,86,2520.657386,78,2520.657386,123,2520.657386
5360,322,3238.359313,193,3238.359313,153,3238.359313,131,3238.359313,128,3238.359313,125,3238.359313,130,3238.359313,132,3238.359313,118,3238.359313,163,3238.359313
6490,466,3737.767778,283,3737.767778,223,3737.767778,190,3737.767778,184,3737.767778,182,3737.767778,184,3737.767778,191,3737.767778,170,3737.767778,217,3737.767778
7620,641,4207.992380,387,4207.992380,305,4207.992380,261,4207.992380,246,4207.992380,248,4207.992380,247,4207.992380,257,4207.992380,232,4207.992380,277,4207.992380
8750,843,4936.928334,506,4936.928334,398,4936.928334,343,4936.928334,323,4936.928334,323,4936.928334,325,4936.928334,332,4936.928334,304,4936.928334,358,4936.928334
9880,1069,5766.109101,645,5766.109101,508,5766.109101,438,5766.109101,411,5766.109101,410,5766.109101,410,5766.109101,424,5766.109101,387,5766.109101,429,5766.109101
11010,1326,6428.429666,802,6428.429666,625,6428.429666,540,6428.429666,506,6428.429666,506,6428.429666,509,6428.429666,520,6428.429666,477,6428.429666,525,6428.429666
12140,1600,7182.791187,971,7182.791187,766,7182.791187,651,7182.791187,615,7182.791187,613,7182.791187,617,7182.791187,620,7182.791187,579,7182.791187,625,7182.791187
13270,1926,7857.065132,1158,7857.065132,905,7857.065132,777,7857.065132,732,7857.065132,731,7857.065132,736,7857.065132,741,7857.065132,690,7857.065132,737,7857.065132
14400,2253,8548.341938,1363,8548.341938,1066,8548.341938,909,8548.341938,859,8548.341938,858,8548.341938,869,8548.341938,873,8548.341938,815,8548.341938,857,8548.341938
