n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,88,1624.958231,51,1624.958231,38,1624.958231,33,1624.958231,30,1624.958231,28,1624.958231,27,1624.958231,26,1624.958231,262,1624.958231,2470,1624.958231
4230,157,2520.657386,86,2520.657386,67,2520.657386,57,2520.657386,54,2520.657386,50,2520.657386,48,2520.657386,47,2520.657386,253,2520.657386,2432,2520.657386
5360,243,3238.359313,139,3238.359313,106,3238.359313,90,3238.359313,84,3238.359313,80,3238.359313,76,3238.359313,76,3238.359313,332,3238.359313,2618,3238.359313
6490,354,3737.767778,203,3737.767778,154,3737.767778,131,3737.767778,124,3737.767778,119,3737.767778,112,3737.767778,113,3737.767778,515,3737.767778,2841,3737.767778
7620,483,4207.992380,274,4207.992380,213,4207.992380,180,4207.992380,169,4207.992380,160,4207.992380,155,4207.992380,152,4207.992380,545,4207.992380,3056,4207.992380
8750,637,4936.928334,363,4936.928334,277,4936.928334,239,4936.928334,222,4936.928334,210,4936.928334,203,4936.928334,199,4936.928334,632,4936.928334,2916,4936.928334
9880,804,5766.109101,457,5766.109101,355,5766.109101,301,5766.109101,285,5766.109101,268,5766.109101,257,5766.109101,258,5766.109101,764,5766.109101,2825,5766.109101
11010,992,6428.429666,571,6428.429666,439,6428.429666,374,6428.429666,352,6428.429666,332,6428.429666,320,6428.429666,315,6428.429666,807,6428.429666,2890,6428.429666
12140,1202,7182.791187,693,7182.791187,532,7182.791187,454,7182.791187,429,7182.791187,401,7182.791187,389,7182.791187,382,7182.791187,842,7182.791187,2871,7182.791187
13270,1436,7857.065132,824,7857.065132,634,7857.065132,539,7857.065132,509,7857.065132,481,7857.065132,464,7857.065132,461,7857.065132,866,7857.065132,3238,7857.065132
14400,1681,8548.341938,969,8548.341938,749,8548.341938,637,8548.341938,600,8548.341938,565,8548.341938,546,8548.341938,539,8548.341938,1028,8548.341938,3237,8548.341938
