n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,88,1624.958231,52,1624.958231,39,1624.958231,33,1624.958231,31,1624.958231,32,1624.958231,31,1624.958231,30,1624.958231,334,1624.958231,2327,1624.958231
4230,154,2520.657386,89,2520.657386,67,2520.657386,56,2520.657386,56,2520.657386,56,2520.657386,58,2520.657386,53,2520.657386,520,2520.657386,2456,2520.657386
5360,243,3238.359313,142,3238.359313,107,3238.359313,90,3238.359313,92,3238.359313,89,3238.359313,93,3238.359313,84,3238.359313,568,3238.359313,2698,3238.359313
6490,352,3737.767778,208,3737.767778,155,3737.767778,133,3737.767778,132,3737.767778,133,3737.767778,134,3737.767778,120,3737.767778,661,3737.767778,2538,3737.767778
7620,480,4207.992380,286,4207.992380,219,4207.992380,183,4207.992380,184,4207.992380,186,4207.992380,181,4207.992380,165,4207.992380,726,4207.992380,2720,4207.992380
8750,633,4936.928334,374,4936.928334,280,4936.928334,239,4936.928334,242,4936.928334,249,4936.928334,234,4936.928334,220,4936.928334,798,4936.928334,2341,4936.928334
9880,801,5766.109101,474,5766.109101,356,5766.109101,302,5766.109101,309,5766.109101,311,5766.109101,304,5766.109101,278,5766.109101,878,5766.109101,2709,5766.109101
11010,989,6428.429666,588,6428.429666,440,6428.429666,375,6428.429666,372,6428.429666,371,6428.429666,370,6428.429666,349,6428.429666,942,6428.429666,3294,6428.429666
12140,1203,7182.791187,714,7182.791187,535,7182.791187,454,7182.791187,475,7182.791187,473,7182.791187,453,7182.791187,420,7182.791187,1007,7182.791187,2689,7182.791187
13270,1432,7857.065132,849,7857.065132,636,7857.065132,544,7857.065132,548,7857.065132,545,7857.065132,547,7857.065132,503,7857.065132,1110,7857.065132,2786,7857.065132
14400,1683,8548.341938,1001,8548.341938,750,8548.341938,639,8548.341938,638,8548.341938,647,8548.341938,635,8548.341938,600,8548.341938,1214,8548.341938,2693,8548.341938
