n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,108,1624.958231,62,1624.958231,46,1624.958231,42,1624.958231,40,1624.958231,35,1624.958231,29,1624.958231,41,1624.958231,32,1624.958231,82,1624.958231
4230,190,2520.657386,105,2520.657386,80,2520.657386,69,2520.657386,71,2520.657386,64,2520.657386,57,2520.657386,60,2520.657386,56,2520.657386,106,2520.657386
5360,297,3238.359313,166,3238.359313,128,3238.359313,107,3238.359313,112,3238.359313,102,3238.359313,93,3238.359313,84,3238.359313,87,3238.359313,128,3238.359313
6490,431,3737.767778,244,3737.767778,186,3737.767778,157,3737.767778,161,3737.767778,142,3737.767778,126,3737.767778,127,3737.767778,123,3737.767778,172,3737.767778
7620,586,4207.992380,331,4207.992380,254,4207.992380,216,4207.992380,220,4207.992380,194,4207.992380,174,4207.992380,175,4207.992380,169,4207.992380,215,4207.992380
8750,771,4936.928334,432,4936.928334,337,4936.928334,281,4936.928334,288,4936.928334,259,4936.928334,234,4936.928334,227,4936.928334,217,4936.928334,264,4936.928334
9880,981,5766.109101,554,5766.109101,425,5766.109101,360,5766.109101,364,5766.109101,330,5766.109101,292,5766.109101,290,5766.109101,283,5766.109101,321,5766.109101
11010,1206,6428.429666,686,6428.429666,529,6428.429666,444,6428.429666,452,6428.429666,419,6428.429666,370,6428.429666,365,6428.429666,344,6428.429666,387,6428.429666
12140,1477,7182.791187,838,7182.791187,646,7182.791187,541,7182.791187,540,7182.791187,486,7182.791187,468,7182.791187,435,7182.791187,416,7182.791187,461,7182.791187
13270,1742,7857.065132,990,7857.065132,764,7857.065132,643,7857.065132,643,7857.065132,563,7857.065132,547,7857.065132,527,7857.065132,496,7857.065132,539,7857.065132
14400,2059,8548.341938,1169,8548.341938,903,8548.341938,754,8548.341938,753,8548.341938,666,8548.341938,644,8548.341938,605,8548.341938,585,8548.341938,628,8548.341938
