n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
100,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,29,2.496223,415,2.496223
1530,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,27,79.284941,425,79.284941
2960,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,28,144.624716,427,144.624716
4390,6,208.298558,6,208.298558,6,208.298558,6,208.298558,5,208.298558,5,208.298558,5,208.298558,5,208.298558,31,208.298558,415,208.298558
5820,11,274.542374,10,274.542374,11,274.542374,9,274.542374,9,274.542374,9,274.542374,9,274.542374,9,274.542374,30,274.542374,413,274.542374
7250,16,378.876824,16,378.876824,16,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,39,378.876824,421,378.876824
8680,22,548.498281,19,548.498281,19,548.498281,20,548.498281,20,548.498281,19,548.498281,19,548.498281,19,548.498281,37,548.498281,412,548.498281
10110,30,613.271658,27,613.271658,27,613.271658,26,613.271658,26,613.271658,27,613.271658,26,613.271658,34,613.271658,49,613.271658,418,613.271658
11540,37,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,54,677.430003,422,677.430003
12970,47,792.540146,43,792.540146,42,792.540146,43,792.540146,42,792.540146,43,792.540146,42,792.540146,42,792.540146,65,792.540146,425,792.540146
14400,55,843.258581,53,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,55,843.258581,82,843.258581,414,843.258581
