n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
100,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,1,2.496223,29,2.496223,433,2.496223
1530,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,30,79.284941,421,79.284941
2960,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,8,144.624716,30,144.624716,418,144.624716
4390,6,208.298558,6,208.298558,6,208.298558,6,208.298558,6,208.298558,7,208.298558,6,208.298558,6,208.298558,29,208.298558,421,208.298558
5820,10,274.542374,10,274.542374,9,274.542374,9,274.542374,9,274.542374,9,274.542374,10,274.542374,9,274.542374,32,274.542374,439,274.542374
7250,16,378.876824,15,378.876824,14,378.876824,14,378.876824,15,378.876824,14,378.876824,14,378.876824,14,378.876824,35,378.876824,420,378.876824
8680,22,548.498281,20,548.498281,19,548.498281,20,548.498281,19,548.498281,19,548.498281,19,548.498281,19,548.498281,38,548.498281,412,548.498281
10110,28,613.271658,26,613.271658,27,613.271658,26,613.271658,26,613.271658,26,613.271658,26,613.271658,26,613.271658,55,613.271658,419,613.271658
11540,36,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,55,677.430003,422,677.430003
12970,46,792.540146,44,792.540146,42,792.540146,43,792.540146,42,792.540146,44,792.540146,42,792.540146,43,792.540146,59,792.540146,417,792.540146
14400,62,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,53,843.258581,69,843.258581,415,843.258581
