n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
100,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,13,2.496223,28,2.496223,419,2.496223
1530,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,29,79.284941,420,79.284941
2960,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,14,144.624716,28,144.624716,426,144.624716
4390,6,208.298558,6,208.298558,7,208.298558,6,208.298558,6,208.298558,6,208.298558,6,208.298558,6,208.298558,27,208.298558,419,208.298558
5820,11,274.542374,10,274.542374,11,274.542374,11,274.542374,11,274.542374,10,274.542374,10,274.542374,23,274.542374,27,274.542374,419,274.542374
7250,15,378.876824,15,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,21,378.876824,23,378.876824,33,378.876824,422,378.876824
8680,23,548.498281,20,548.498281,20,548.498281,19,548.498281,19,548.498281,19,548.498281,27,548.498281,19,548.498281,44,548.498281,413,548.498281
10110,28,613.271658,26,613.271658,27,613.271658,26,613.271658,26,613.271658,27,613.271658,26,613.271658,26,613.271658,46,613.271658,419,613.271658
11540,37,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,54,677.430003,407,677.430003
12970,48,792.540146,43,792.540146,42,792.540146,42,792.540146,43,792.540146,44,792.540146,43,792.540146,42,792.540146,67,792.540146,419,792.540146
14400,58,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,53,843.258581,75,843.258581,419,843.258581
