n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
100,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,32,2.496223,415,2.496223
1530,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,30,79.284941,421,79.284941
2960,3,144.624716,3,144.624716,3,144.624716,3,144.624716,4,144.624716,3,144.624716,3,144.624716,3,144.624716,32,144.624716,447,144.624716
4390,6,208.298558,6,208.298558,6,208.298558,6,208.298558,6,208.298558,6,208.298558,6,208.298558,6,208.298558,35,208.298558,410,208.298558
5820,11,274.542374,10,274.542374,10,274.542374,9,274.542374,9,274.542374,10,274.542374,9,274.542374,9,274.542374,29,274.542374,431,274.542374
7250,16,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,36,378.876824,417,378.876824
8680,23,548.498281,20,548.498281,20,548.498281,20,548.498281,20,548.498281,19,548.498281,27,548.498281,19,548.498281,53,548.498281,417,548.498281
10110,30,613.271658,26,613.271658,27,613.271658,26,613.271658,26,613.271658,26,613.271658,26,613.271658,26,613.271658,46,613.271658,419,613.271658
11540,36,677.430003,35,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,46,677.430003,50,677.430003,434,677.430003
12970,52,792.540146,43,792.540146,42,792.540146,43,792.540146,42,792.540146,43,792.540146,42,792.540146,43,792.540146,70,792.540146,426,792.540146
14400,56,843.258581,54,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,75,843.258581,409,843.258581
