n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
100,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,1,2.496223,28,2.496223,413,2.496223
1530,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,35,79.284941,410,79.284941
2960,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,4,144.624716,31,144.624716,421,144.624716
4390,6,208.298558,6,208.298558,7,208.298558,6,208.298558,6,208.298558,7,208.298558,6,208.298558,11,208.298558,30,208.298558,427,208.298558
5820,10,274.542374,10,274.542374,10,274.542374,10,274.542374,10,274.542374,10,274.542374,10,274.542374,10,274.542374,29,274.542374,411,274.542374
7250,16,378.876824,15,378.876824,15,378.876824,15,378.876824,14,378.876824,14,378.876824,14,378.876824,27,378.876824,34,378.876824,420,378.876824
8680,22,548.498281,20,548.498281,20,548.498281,20,548.498281,19,548.498281,20,548.498281,22,548.498281,20,548.498281,37,548.498281,427,548.498281
10110,29,613.271658,26,613.271658,26,613.271658,27,613.271658,26,613.271658,26,613.271658,26,613.271658,27,613.271658,43,613.271658,428,613.271658
11540,37,677.430003,33,677.430003,35,677.430003,35,677.430003,35,677.430003,34,677.430003,34,677.430003,34,677.430003,51,677.430003,423,677.430003
12970,47,792.540146,45,792.540146,43,792.540146,43,792.540146,43,792.540146,42,792.540146,43,792.540146,42,792.540146,60,792.540146,409,792.540146
14400,55,843.258581,53,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,53,843.258581,52,843.258581,77,843.258581,435,843.258581
