n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
100,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,31,2.496223,422,2.496223
1530,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,1,79.284941,27,79.284941,413,79.284941
2960,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,35,144.624716,417,144.624716
4390,6,208.298558,6,208.298558,6,208.298558,6,208.298558,6,208.298558,7,208.298558,11,208.298558,6,208.298558,37,208.298558,434,208.298558
5820,10,274.542374,10,274.542374,9,274.542374,9,274.542374,9,274.542374,10,274.542374,9,274.542374,9,274.542374,27,274.542374,410,274.542374
7250,16,378.876824,14,378.876824,14,378.876824,14,378.876824,15,378.876824,14,378.876824,14,378.876824,14,378.876824,40,378.876824,419,378.876824
8680,22,548.498281,19,548.498281,19,548.498281,20,548.498281,19,548.498281,19,548.498281,19,548.498281,19,548.498281,49,548.498281,419,548.498281
10110,29,613.271658,26,613.271658,27,613.271658,26,613.271658,26,613.271658,28,613.271658,26,613.271658,27,613.271658,43,613.271658,428,613.271658
11540,37,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,56,677.430003,426,677.430003
12970,46,792.540146,43,792.540146,43,792.540146,47,792.540146,43,792.540146,42,792.540146,42,792.540146,43,792.540146,63,792.540146,428,792.540146
14400,55,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,52,843.258581,54,843.258581,52,843.258581,69,843.258581,410,843.258581
