n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
100,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,0,2.496223,35,2.496223,398,2.496223
1530,1,79.284941,1,79.284941,1,79.284941,3,79.284941,1,79.284941,1,79.284941,1,79.284941,7,79.284941,33,79.284941,418,79.284941
2960,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,3,144.624716,4,144.624716,32,144.624716,415,144.624716
4390,6,208.298558,6,208.298558,6,208.298558,6,208.298558,6,208.298558,6,208.298558,19,208.298558,7,208.298558,30,208.298558,421,208.298558
5820,10,274.542374,11,274.542374,9,274.542374,10,274.542374,10,274.542374,9,274.542374,9,274.542374,9,274.542374,28,274.542374,429,274.542374
7250,16,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,14,378.876824,34,378.876824,408,378.876824
8680,21,548.498281,19,548.498281,20,548.498281,20,548.498281,19,548.498281,19,548.498281,19,548.498281,26,548.498281,37,548.498281,415,548.498281
10110,28,613.271658,27,613.271658,27,613.271658,26,613.271658,27,613.271658,26,613.271658,26,613.271658,27,613.271658,47,613.271658,431,613.271658
11540,37,677.430003,34,677.430003,36,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,34,677.430003,63,677.430003,408,677.430003
12970,47,792.540146,42,792.540146,43,792.540146,42,792.540146,42,792.540146,43,792.540146,42,792.540146,47,792.540146,59,792.540146,406,792.540146
14400,57,843.258581,52,843.258581,52,843.258581,53,843.258581,52,843.258581,54,843.258581,52,843.258581,53,843.258581,82,843.258581,407,843.258581
